winning_team,country
United Arab Emirates,
,
France,France
Haiti,
Romania,Turkey
Kenya,Malawi
United States,United States
Spain,Greece
,
,
Kenya,Malawi
,
,
Haiti,
,
United Arab Emirates,United Arab Emirates
,Germany
,Bermuda
Chile,
Guernsey,Guernsey
Kenya,Malawi
,
,
Haiti,
Paraguay,
Hungary,Iran
Guernsey,
Saudi Arabia,United Arab Emirates
Romania,
Wales,England
,
United Arab Emirates,United Arab Emirates
,Germany
,Bermuda
Chile,
Guernsey,Guernsey
Zambia,Tanzania
Bolivia,
Mexico,Mexico
Lebanon,Lebanon
Botswana,Namibia
Myanmar,
Kuwait,United Arab Emirates
Iran,
Mozambique,Zambia
Poland,Bulgaria
Poland,Bulgaria
Botswana,Namibia
Mexico,Mexico
Mozambique,Zambia
Argentina,Mexico
,Germany
Finland,
,
Netherlands,Germany
Italy,Lithuania
Poland,Bulgaria
Botswana,Namibia
Mexico,Mexico
Mozambique,Zambia
Angola,Mozambique
Brazil,
Nepal,Laos
Réunion,Seychelles
Portugal,
Brazil,Japan
Argentina,Mexico
,Germany
Finland,
,
Netherlands,Germany
Italy,Lithuania
